Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
52879,Ten Little Indians,Sherman Alexie,"Alexie, Sherman",,"=""009946456X""","=""9780099464563""",4,4.07,Vintage,Paperback,256,2005,2003,,2020/05/03,"2020, authors-of-color, covid-reading, fiction, first-nations","2020 (#48), authors-of-color (#55), covid-reading (#16), fiction (#328), first-nations (#14)",read,,,,1,,,0,,,,,
94081,Serve It Forth,M.F.K. Fisher,"Fisher, M.F.K.",,"=""0865473692""","=""9780865473690""",0,4.18,North Point Press,Paperback,160,2002,1937,,2020/05/02,to-read,to-read (#348),to-read,,,,0,,,0,,,,,
304032,The Gastronomical Me,M.F.K. Fisher,"Fisher, M.F.K.",David Bullen,"=""0865473927""","=""9780865473928""",0,4.21,North Point Press,Paperback,272,1989,1943,,2020/05/02,to-read,to-read (#347),to-read,,,,0,,,0,,,,,
94079,The Art of Eating,M.F.K. Fisher,"Fisher, M.F.K.",,"=""0764542613""","=""9780764542619""",0,4.33,Houghton Mifflin Harcourt,Paperback,749,2004,1954,,2020/05/02,to-read,to-read (#346),to-read,,,,0,,,0,,,,,
2372184,Tundra (Biomes of the Earth),Peter D. Moore,"Moore, Peter D.",,"=""0816053251""","=""9780816053254""",0,4.00,Chelsea House Publications,Hardcover,220,2006,2006,,2020/05/02,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
10454420,Blessed Are the Dead  (Detective Emmanuel Cooper #3),Malla Nunn,"Nunn, Malla",,"=""1451616929""","=""9781451616927""",5,3.99,Atria/Emily Bestler Books,Paperback,336,2012,2012,,2020/04/04,"2020, african-authors-read, authors-of-color, black-authors-read, covid-reading, crime-fiction, fiction, mystery, novel, women-authors","2020 (#47), african-authors-read (#9), authors-of-color (#54), black-authors-read (#48), covid-reading (#15), crime-fiction (#32), fiction (#327), mystery (#33), novel (#71), women-authors (#173)",read,,,,1,,,0,,,,,
35259724,Behold the Dreamers,Imbolo Mbue,"Mbue, Imbolo",,"=""0525509712""","=""9780525509714""",5,3.95,Random House Trade,Paperback,400,2017,2016,2019/12/24,2019/11/24,"2019, africa, authors-of-color, best-of-2019, books-i-loved, books-that-changed-how-i-think, fav-novels, favorites, fiction, novel, women-authors, black-authors-read, african-authors-read","2019 (#104), africa (#13), authors-of-color (#34), best-of-2019 (#14), books-i-loved (#95), books-that-changed-how-i-think (#39), fav-novels (#6), favorites (#40), fiction (#301), novel (#49), women-authors (#154), black-authors-read (#2), african-authors-read (#8)",read,,,,1,,,0,,,,,
7194279,The Secret Lives of Baba Segi's Wives,Lola Shoneyin,"Shoneyin, Lola",,"=""0061946370""","=""9780061946370""",3,3.98,William Morrow,Hardcover,280,2010,2010,,2019/11/22,"2019, authors-of-color, women-authors, black-authors-read, african-authors-read","2019 (#94), authors-of-color (#26), women-authors (#149), black-authors-read (#14), african-authors-read (#7)",read,,,,1,,,0,,,,,
30186905,The Queue,Basma Abdel Aziz,"Aziz, Basma Abdel",Elisabeth Jaquette,"=""""","=""""",0,3.60,Melville House,Kindle Edition,224,2016,2012,,2019/12/22,"authors-of-color, 2019, africa, women-authors, african-authors-read","authors-of-color (#33), 2019 (#109), africa (#16), women-authors (#166), african-authors-read (#6)",read,,,,0,,,0,,,,,
1344089,The Screaming of the Innocent,Unity Dow,"Dow, Unity",,"=""1876756209""","=""9781876756208""",5,3.95,Spinifex Press,Paperback,215,2002,2002,2020/03/14,2020/03/13,"africa, authors-of-color, crime-fiction, fiction, novel, women-authors, 2020, black-authors-read, best-of-2020, under-1000-reviews, african-authors-read","africa (#18), authors-of-color (#48), crime-fiction (#26), fiction (#313), novel (#59), women-authors (#168), 2020 (#26), black-authors-read (#42), best-of-2020 (#1), under-1000-reviews (#4), african-authors-read (#5)",read,,,,1,,,0,,,,,
42221103,Fib & The Axe Of Fury (Risen Evil #1),Esosa Kolawole,"Kolawole, Esosa",,"=""""","=""""",0,3.84,Zuma Publishing,Paperback,304,2019,2019,2020/03/13,2020/03/08,"2020, africa, authors-of-color, black-authors-read, children_and_ya, fiction, novel, women-authors, under-1000-reviews, african-authors-read","2020 (#25), africa (#17), authors-of-color (#47), black-authors-read (#41), children_and_ya (#161), fiction (#312), novel (#58), women-authors (#167), under-1000-reviews (#5), african-authors-read (#4)",read,,,,1,,,0,,,,,
2991868,"A Beautiful Place to Die (Detective Emmanuel Cooper, #1)",Malla Nunn,"Nunn, Malla",,"=""1416586202""","=""9781416586203""",5,3.88,Atria,Hardcover,384,2009,2008,2020/04/06,2020/03/08,"2020, africa, authors-of-color, best-of-2020, black-authors-read, books-i-loved, covid-reading, crime-fiction, fiction, mystery, novel, women-authors, african-authors-read","2020 (#37), africa (#19), authors-of-color (#50), best-of-2020 (#2), black-authors-read (#44), books-i-loved (#99), covid-reading (#5), crime-fiction (#27), fiction (#320), mystery (#28), novel (#66), women-authors (#169), african-authors-read (#3)",read,"Wow!!! One chapter in, I knew I was going to love it. 50 pages in, I ordered the rest of the series. 24 hours in, I've finished it and am literally immediately rereading it while I wait for the rest to show up. Holy cow this was good.",,,1,,,0,,,,,
