"author","auth_POB1","auth_POB2","personal.x","family.x","personal.y","family.y"
"Jim Ottaviani",NA,NA,NA,NA,"Jim","Ottaviani"
"Jo Nesbø","unknown","","Jo","Nesbø","Jo","Nesbø"
"Jô Soares","unknown","","Jô","Soares",NA,NA
"Joe Haldeman","unknown","","Joe","Haldeman","Joe","Haldeman"
"Joe Simpson","unknown","","Joe","Simpson","Joe","Simpson"
"Joel Christian Gill",NA,NA,NA,NA,"Joel","Christian Gill"
"Joel Townsley Rogers","unknown","","Joel","Townsley Rogers",NA,NA
"John             Lewis",NA,NA,NA,NA,"John","            Lewis"
"John  Bingham","unknown","","John"," Bingham",NA,NA
"John A. Holm","unknown","","John","A. Holm","John","A. Holm"
"John Bude",NA,NA,NA,NA,"John","Bude"
"John D. Preston","unknown","","John","D. Preston","John","D. Preston"
"John Dickson Carr",NA,NA,NA,NA,"John","Dickson Carr"
"John Franklin Bardin","unknown","","John","Franklin Bardin",NA,NA
"John Knowles","unknown","","John","Knowles","John","Knowles"
"John L. Ransom",NA,NA,NA,NA,"John","L. Ransom"
"John McWhorter","unknown","","John","McWhorter","John","McWhorter"
"John Medina","unknown","","John","Medina","John","Medina"
"John Rowland",NA,NA,NA,NA,"John","Rowland"
"John Scalzi","unknown","","John","Scalzi","John","Scalzi"
"John Steinbeck","unknown","","John","Steinbeck","John","Steinbeck"
"John Stuart Mill","unknown","","John","Stuart Mill","John","Stuart Mill"
"John Sutherland","unknown","","John","Sutherland","John","Sutherland"
"Jonathan Case","unknown","","Jonathan","Case","Jonathan","Case"
"Jonathan Clements","unknown","","Jonathan","Clements","Jonathan","Clements"
"Jonathan Kahn","unknown","","Jonathan","Kahn","Jonathan","Kahn"
"Jonathan Stephenson","unknown","","Jonathan","Stephenson","Jonathan","Stephenson"
"Jonathan Swift","unknown","","Jonathan","Swift","Jonathan","Swift"
"Jorge Luis Borges","unknown","","Jorge","Luis Borges","Jorge","Luis Borges"
"Joseph Boyden","unknown","","Joseph","Boyden",NA,NA
"Joseph Bruchac","unknown","","Joseph","Bruchac",NA,NA
"Joseph Conrad","unknown","","Joseph","Conrad","Joseph","Conrad"
"Joseph L. Graves Jr.","unknown","","Joseph","L. Graves Jr.","Joseph","L. Graves Jr."
"Joseph L. Mbele",NA,NA,NA,NA,"Joseph","L. Mbele"
"Joseph Telushkin","unknown","","Joseph","Telushkin","Joseph","Telushkin"
"Josepha Sherman","unknown","","Josepha","Sherman","Josepha","Sherman"
"Joshua Hammer","unknown","","Joshua","Hammer",NA,NA
"Joshua Whitehead","unknown","","Joshua","Whitehead",NA,NA
"Jostein Gaarder","unknown","","Jostein","Gaarder","Jostein","Gaarder"
"Joy Harjo","Tulsa"," OK","Joy","Harjo",NA,NA
"Joyce Hansen","unknown","","Joyce","Hansen","Joyce","Hansen"
"Judith Flanders","unknown","","Judith","Flanders","Judith","Flanders"
"Judith Plaskow","unknown","","Judith","Plaskow","Judith","Plaskow"
"Judith R. Baskin","unknown","","Judith","R. Baskin","Judith","R. Baskin"
"Jules Verne","unknown","","Jules","Verne","Jules","Verne"
"Julia Serano","unknown","","Julia","Serano","Julia","Serano"
"Julian Symons","unknown","","Julian","Symons","Julian","Symons"
"Justin Cronin",NA,NA,NA,NA,"Justin","Cronin"
"Justin McElroy","unknown","","Justin","McElroy","Justin","McElroy"
"K.A. Applegate",NA,NA,NA,NA,"K.A.","Applegate"
"Kai Ashante Wilson",NA,NA,NA,NA,"Kai","Ashante Wilson"
"Kaitlyn Greenidge","unknown","","Kaitlyn","Greenidge",NA,NA
"Kaouther Adimi",NA,NA,NA,NA,"Kaouther","Adimi"
"Karen Armstrong","unknown","","Karen","Armstrong","Karen","Armstrong"
"Karen Lord",NA,NA,NA,NA,"Karen","Lord"
"Karl Friedrich Kahlert","unknown","","Karl","Friedrich Kahlert",NA,NA
"Katherena Vermette","unknown","","Katherena","Vermette","Katherena","Vermette"
"Katherine Applegate",NA,NA,NA,NA,"Katherine","Applegate"
"Kathleen Rooney",NA,NA,NA,NA,"Kathleen","Rooney"
"Kathryn Lasky","unknown","","Kathryn","Lasky","Kathryn","Lasky"
"Kathryn Stockett","unknown","","Kathryn","Stockett","Kathryn","Stockett"
"Keezy Young","unknown","","Keezy","Young","Keezy","Young"
"Keisuke Matsuoka","unknown","","Keisuke","Matsuoka",NA,NA
"Kelly Wels","unknown","","Kelly","Wels","Kelly","Wels"
"Ken Saro-Wiwa",NA,NA,NA,NA,"Ken","Saro-Wiwa"
"Kiese Laymon","unknown","","Kiese","Laymon",NA,NA
"Kiran Millwood Hargrave",NA,NA,NA,NA,"Kiran","Millwood Hargrave"
"Kiyoshi Kiyosawa",NA,NA,NA,NA,"Kiyoshi","Kiyosawa"
"Kofi Aidoo",NA,NA,NA,NA,"Kofi","Aidoo"
"Kopano Matlwa","unknown","","Kopano","Matlwa","Kopano","Matlwa"
"Kory Stamper","unknown","","Kory","Stamper","Kory","Stamper"
"Krishna-Dwaipayana Vyasa","unknown","","Krishna-Dwaipayana","Vyasa","Krishna-Dwaipayana","Vyasa"
"Kristiana Gregory","unknown","","Kristiana","Gregory","Kristiana","Gregory"
"Kurt Vonnegut","unknown","","Kurt","Vonnegut",NA,NA
"Kurt Vonnegut Jr.",NA,NA,NA,NA,"Kurt","Vonnegut Jr."
"Kyle Baker",NA,NA,NA,NA,"Kyle","Baker"
"L. Frank Baum","unknown","","L.","Frank Baum","L.","Frank Baum"
"L.M. Montgomery","unknown","","L.M.","Montgomery","L.M.","Montgomery"
"Lao Tzu","unknown","","Lao","Tzu","Lao","Tzu"
"Laura Ingalls Wilder","unknown","","Laura","Ingalls Wilder","Laura","Ingalls Wilder"
"Laura Lee Gulledge","unknown","","Laura","Lee Gulledge","Laura","Lee Gulledge"
"Lauren Beukes","Johannesburg"," South Africa","Lauren","Beukes","Lauren","Beukes"
"Laurence Rees","unknown","","Laurence","Rees","Laurence","Rees"
"Laurence Sterne","unknown","","Laurence","Sterne",NA,NA
"Laurence Yep","unknown","","Laurence","Yep","Laurence","Yep"
"Lauri Kubuitsile",NA,NA,NA,NA,"Lauri","Kubuitsile"
"Lawrence A. Hoffman","unknown","","Lawrence","A. Hoffman","Lawrence","A. Hoffman"
"Lawrence Fine","unknown","","Lawrence","Fine","Lawrence","Fine"
"Lawrence Goldstone","unknown","","Lawrence","Goldstone",NA,NA
"Lawrence Hill","unknown","","Lawrence","Hill","Lawrence","Hill"
"Laxmi Prasad Devkota","Kathmandu"," Nepal","Laxmi","Prasad Devkota",NA,NA
"Leah Hager Cohen","unknown","","Leah","Hager Cohen","Leah","Hager Cohen"
"Leanne Betasamosake Simpson",NA,NA,NA,NA,"Leanne","Betasamosake Simpson"
"Lee Maracle","unknown","","Lee","Maracle",NA,NA
"Leigh Bardugo","unknown","","Leigh","Bardugo","Leigh","Bardugo"
"Lemony Snicket",NA,NA,NA,NA,"Lemony","Snicket"
"Lene Kaaberbøl","unknown","","Lene","Kaaberbøl","Lene","Kaaberbøl"
"Leonard R. Gribble",NA,NA,NA,NA,"Leonard","R. Gribble"
"Leonard Richardson","unknown","","Leonard","Richardson","Leonard","Richardson"
"Lesley Lokko",NA,NA,NA,NA,"Lesley","Lokko"
"Lesley Nneka Arimah","London"," United Kingdom","Lesley","Nneka Arimah",NA,NA
"Leslie Marmon Silko","unknown","","Leslie","Marmon Silko","Leslie","Marmon Silko"
"Leslie Meier","unknown","","Leslie","Meier","Leslie","Meier"
"Lewis Carroll","unknown","","Lewis","Carroll","Lewis","Carroll"
"Lil Bahadur Chettri","Guwahati"," India","Lil","Bahadur Chettri",NA,NA
"Lila Bowen","unknown","","Lila","Bowen","Lila","Bowen"
"Lily Mabura",NA,NA,NA,NA,"Lily","Mabura"
"Lindsey Fitzharris","unknown","","Lindsey","Fitzharris","Lindsey","Fitzharris"
"Lois Austen-Leigh",NA,NA,NA,NA,"Lois","Austen-Leigh"
"Lois Lowry","unknown","","Lois","Lowry","Lois","Lowry"
"Lola Shoneyin","unknown","","Lola","Shoneyin","Lola","Shoneyin"
"Lonely Planet","unknown","","Lonely","Planet","Lonely","Planet"
"Louis Sachar","unknown","","Louis","Sachar","Louis","Sachar"
"Louisa May Alcott","unknown","","Louisa","May Alcott","Louisa","May Alcott"
"Louise Erdrich","unknown","","Louise","Erdrich","Louise","Erdrich"
"Lucy Worsley","unknown","","Lucy","Worsley","Lucy","Worsley"
"Lyndsay Faye","unknown","","Lyndsay","Faye","Lyndsay","Faye"
"Lynn Brock","unknown","","Lynn","Brock",NA,NA
"M.F.K. Fisher",NA,NA,NA,NA,"M.F.K.","Fisher"
"M.R. Carey","unknown","","M.R.","Carey","M.R.","Carey"
"Maaza Mengiste",NA,NA,NA,NA,"Maaza","Mengiste"
"Madeleine L'Engle","unknown","","Madeleine","L'Engle","Madeleine","L'Engle"
"Maggie Anton","unknown","","Maggie","Anton","Maggie","Anton"
"Mahlon B. Hoagland","unknown","","Mahlon","B. Hoagland","Mahlon","B. Hoagland"
"Maj Sjöwall","unknown","","Maj","Sjöwall","Maj","Sjöwall"
"Majok Tulba","Sudan","","Majok","Tulba","Majok","Tulba"
"Makiko Nakano",NA,NA,NA,NA,"Makiko","Nakano"
"Malla Nunn","Eswatini","","Malla","Nunn","Malla","Nunn"
"Mallory Ortberg","unknown","","Mallory","Ortberg","Mallory","Ortberg"
"Manal Al-Sharif","unknown","","Manal","Al-Sharif","Manal","Al-Sharif"
"Margalit Fox","unknown","","Margalit","Fox","Margalit","Fox"
"Margaret Atwood","unknown","","Margaret","Atwood","Margaret","Atwood"
"Margaret Kessler","unknown","","Margaret","Kessler","Margaret","Kessler"
"Margaret Millar","unknown","","Margaret","Millar",NA,NA
"Margaret S. Livingstone","unknown","","Margaret","S. Livingstone","Margaret","S. Livingstone"
"Margaret Sanger","unknown","","Margaret","Sanger",NA,NA
"Margaret Visser","unknown","","Margaret","Visser","Margaret","Visser"
"Margaret Wehrenberg","unknown","","Margaret","Wehrenberg","Margaret","Wehrenberg"
"Margaret Wilkerson Sexton","unknown","","Margaret","Wilkerson Sexton",NA,NA
"Marge Piercy",NA,NA,NA,NA,"Marge","Piercy"
"Marguerite Abouet","unknown","","Marguerite","Abouet","Marguerite","Abouet"
"Maria Edgeworth","unknown","","Maria","Edgeworth",NA,NA
"Mariama Bâ",NA,NA,NA,NA,"Mariama","Bâ"
"MariJo Moore","unknown","","MariJo","Moore",NA,NA
"Marion Dane Bauer","unknown","","Marion","Dane Bauer","Marion","Dane Bauer"
"Marissa Meyer","unknown","","Marissa","Meyer","Marissa","Meyer"
"Marjane Satrapi","unknown","","Marjane","Satrapi","Marjane","Satrapi"
"Marjorie Shostak","unknown","","Marjorie","Shostak","Marjorie","Shostak"
"Mark Abley","unknown","","Mark","Abley","Mark","Abley"
"Mark Forsyth","unknown","","Mark","Forsyth","Mark","Forsyth"
"Mark Twain","unknown","","Mark","Twain","Mark","Twain"
"Marlon James","unknown","","Marlon","James",NA,NA
"Marquis de Sade","unknown","","Marquis","de Sade",NA,NA
"Martin Edwards","unknown","","Martin","Edwards","Martin","Edwards"
"Mary  Kelly",NA,NA,NA,NA,"Mary"," Kelly"
"Mary Matsuda Gruenewald","unknown","","Mary","Matsuda Gruenewald","Mary","Matsuda Gruenewald"
"Mary Norton","unknown","","Mary","Norton","Mary","Norton"
"Mary Pope Osborne",NA,NA,NA,NA,"Mary","Pope Osborne"
"Mary Wollstonecraft Shelley","unknown","","Mary","Wollstonecraft Shelley",NA,NA
"Marya Hornbacher","unknown","","Marya","Hornbacher","Marya","Hornbacher"
"Mat Johnson","unknown","","Mat","Johnson","Mat","Johnson"
"Matt Madden",NA,NA,NA,NA,"Matt","Madden"
"Matt Ridley","unknown","","Matt","Ridley","Matt","Ridley"
"Matt Ruff","unknown","","Matt","Ruff","Matt","Ruff"
"Matthew Lewis","unknown","","Matthew","Lewis",NA,NA
"Matthew McIntosh","unknown","","Matthew","McIntosh","Matthew","McIntosh"
"Maurice Carlos Ruffin","New Orleans","","Maurice","Carlos Ruffin","Maurice","Carlos Ruffin"
"Mavis Doriel Hay",NA,NA,NA,NA,"Mavis","Doriel Hay"
"Max Gladstone","unknown","","Max","Gladstone","Max","Gladstone"
"Maxine Rose Schur",NA,NA,NA,NA,"Maxine","Rose Schur"
"Mayo Clinic","unknown","","Mayo","Clinic","Mayo","Clinic"
"Mbulelo Vizikhungo Mzamane",NA,NA,NA,NA,"Mbulelo","Vizikhungo Mzamane"
"Micah D. Halpern","unknown","","Micah","D. Halpern","Micah","D. Halpern"
"Michael       Schmidt",NA,NA,NA,NA,"Michael","      Schmidt"
"Michael    Gilbert",NA,NA,NA,NA,"Michael","   Gilbert"
"Michael Carasik","unknown","","Michael","Carasik","Michael","Carasik"
"Michael Chabon",NA,NA,NA,NA,"Michael","Chabon"
"Michael Crichton",NA,NA,NA,NA,"Michael","Crichton"
"Michael Ende","unknown","","Michael","Ende","Michael","Ende"
"Michael J. Benton","unknown","","Michael","J. Benton","Michael","J. Benton"
"Michael Pollan","unknown","","Michael","Pollan","Michael","Pollan"
"Michael Shermer","unknown","","Michael","Shermer","Michael","Shermer"
"Michitsuna no Haha",NA,NA,NA,NA,"Michitsuna","no Haha"
"Miguel de Cervantes Saavedra",NA,NA,NA,NA,"Miguel","de Cervantes Saavedra"
"Mike   Phillips","unknown","","Mike","  Phillips",NA,NA
"Mike Carey","unknown","","Mike","Carey","Mike","Carey"
"Mike Green","unknown","","Mike","Green","Mike","Green"
"Miles Burton",NA,NA,NA,NA,"Miles","Burton"
"Mimi Matthews","unknown","","Mimi","Matthews",NA,NA
"Mitiarjuk Nappaaluk","unknown","","Mitiarjuk","Nappaaluk",NA,NA
"Modisana Mosweu",NA,NA,NA,NA,"Modisana","Mosweu"
"Mort Rosenblum","unknown","","Mort","Rosenblum","Mort","Rosenblum"
"Mtutuzeli Matshoba",NA,NA,NA,NA,"Mtutuzeli","Matshoba"
"Murasaki Shikibu",NA,NA,NA,NA,"Murasaki","Shikibu"
"N. Scott Momaday","Lawton"," OK","N.","Scott Momaday",NA,NA
"N.K. Jemisin",NA,NA,NA,NA,"N.K.","Jemisin"
"Nadifa Mohamed","unknown","","Nadifa","Mohamed","Nadifa","Mohamed"
"Nagabe","unknown","","Nagabe","","Nagabe",""
"Nalo Hopkinson","unknown","","Nalo","Hopkinson","Nalo","Hopkinson"
"Namina Forna",NA,NA,NA,NA,"Namina","Forna"
"Namwali Serpell","Lusaka"," Zambia","Namwali","Serpell","Namwali","Serpell"
"Nancy Day","unknown","","Nancy","Day","Nancy","Day"
"Nancy Farmer","unknown","","Nancy","Farmer","Nancy","Farmer"
"Naomi Jackson","unknown","","Naomi","Jackson",NA,NA
"Naomi Novik","unknown","","Naomi","Novik","Naomi","Novik"
"Naomi Oreskes","unknown","","Naomi","Oreskes",NA,NA
"Naomi Wolf","unknown","","Naomi","Wolf",NA,NA
"Napoleon A. Chagnon","unknown","","Napoleon","A. Chagnon","Napoleon","A. Chagnon"
"Natan Slifkin","unknown","","Natan","Slifkin","Natan","Slifkin"
"Nathaniel Hawthorne","unknown","","Nathaniel","Hawthorne","Nathaniel","Hawthorne"
"Nathaniel Philbrick","unknown","","Nathaniel","Philbrick","Nathaniel","Philbrick"
"Neal Stephenson","unknown","","Neal","Stephenson","Neal","Stephenson"
"Nega Mezlekia",NA,NA,NA,NA,"Nega","Mezlekia"
"Neil Barron","unknown","","Neil","Barron","Neil","Barron"
"Neil Gaiman","unknown","","Neil","Gaiman","Neil","Gaiman"
"Nell Irvin Painter",NA,NA,NA,NA,"Nell","Irvin Painter"
"Nelson Mandela",NA,NA,NA,NA,"Nelson","Mandela"
"Nevanji Madanhire",NA,NA,NA,NA,"Nevanji","Madanhire"
"Ngũgĩ wa Thiong'o",NA,NA,NA,NA,"Ngũgĩ","wa Thiong'o"
"Nic Stone","unknown","","Nic","Stone",NA,NA
"Nicholas A. Basbanes","unknown","","Nicholas","A. Basbanes",NA,NA
"Nick Lane","unknown","","Nick","Lane","Nick","Lane"
"Nicola Yoon","unknown","","Nicola","Yoon",NA,NA
"Nikki Giovanni",NA,NA,NA,NA,"Nikki","Giovanni"
"Nina G. Jablonski","unknown","","Nina","G. Jablonski","Nina","G. Jablonski"
"Nisi Shawl","unknown","","Nisi","Shawl","Nisi","Shawl"
"Nnedi Okorafor","Cincinnati"," OH","Nnedi","Okorafor","Nnedi","Okorafor"
"Nora DeLoach","unknown","","Nora","DeLoach","Nora","DeLoach"
"Norton Juster","unknown","","Norton","Juster","Norton","Juster"
"Nosson Scherman","unknown","","Nosson","Scherman","Nosson","Scherman"
"NoViolet Bulawayo",NA,NA,NA,NA,"NoViolet","Bulawayo"
"Novuyo Rosa Tshuma","unknown","","Novuyo","Rosa Tshuma",NA,NA
"Nurit Karlin","unknown","","Nurit","Karlin","Nurit","Karlin"
"Nuruddin Farah","Baidoa"," Somalia","Nuruddin","Farah","Nuruddin","Farah"
"Nyuol Lueth Tong",NA,NA,NA,NA,"Nyuol","Lueth Tong"
"Octavia E. Butler","unknown","","Octavia","E. Butler","Octavia","E. Butler"
"Okot p'Bitek",NA,NA,NA,NA,"Okot","p'Bitek"
"Oliver Sacks","unknown","","Oliver","Sacks","Oliver","Sacks"
"ONE","unknown","","ONE","","ONE",""
"Ora Band","unknown","","Ora","Band","Ora","Band"
"Orson Scott Card","unknown","","Orson","Scott Card","Orson","Scott Card"
"Oscar Wilde","unknown","","Oscar","Wilde","Oscar","Wilde"
"Ousmane Sembène",NA,NA,NA,NA,"Ousmane","Sembène"
"Oyinkan Braithwaite","unknown","","Oyinkan","Braithwaite",NA,NA
"Pamela Regis","unknown","","Pamela","Regis",NA,NA
"Patricia C. McKissack","unknown","","Patricia","C. McKissack","Patricia","C. McKissack"
"Patricia C. Wrede","unknown","","Patricia","C. Wrede","Patricia","C. Wrede"
"Patrisse Khan-Cullors","unknown","","Patrisse","Khan-Cullors","Patrisse","Khan-Cullors"
"Paul A. Offit","unknown","","Paul","A. Offit","Paul","A. Offit"
"Paul Beatty","unknown","","Paul","Beatty",NA,NA
"Paul J. Hopper","unknown","","Paul","J. Hopper",NA,NA
"Paula Gunn Allen","Albuquerque"," NM","Paula","Gunn Allen",NA,NA
"Paule Marshall",NA,NA,NA,NA,"Paule","Marshall"
"Peg Meier","unknown","","Peg","Meier","Peg","Meier"
"Pema Chödrön","unknown","","Pema","Chödrön","Pema","Chödrön"
"Pendleton Ward","unknown","","Pendleton","Ward","Pendleton","Ward"
"Penelope Fitzgerald","unknown","","Penelope","Fitzgerald",NA,NA
"Peter  Abrahams",NA,NA,NA,NA,"Peter"," Abrahams"
"Peter Bagge",NA,NA,NA,NA,"Peter","Bagge"
"Peter C. Brown","unknown","","Peter","C. Brown","Peter","C. Brown"
"Peter D. Moore",NA,NA,NA,NA,"Peter","D. Moore"
"Peter Dickinson","unknown","","Peter","Dickinson",NA,NA
"Peter Mendelsund","unknown","","Peter","Mendelsund","Peter","Mendelsund"
"Peter Menzel","unknown","","Peter","Menzel","Peter","Menzel"
"Peter Shaffer",NA,NA,NA,NA,"Peter","Shaffer"
"Petina Gappah","Copperbelt Province"," Zambia","Petina","Gappah","Petina","Gappah"
"Philip Ball","unknown","","Philip","Ball","Philip","Ball"
"Philip Gourevitch","unknown","","Philip","Gourevitch","Philip","Gourevitch"
"Philip K. Dick","unknown","","Philip","K. Dick",NA,NA
"Philip Nel","unknown","","Philip","Nel","Philip","Nel"
"Phyllis A. Whitney","unknown","","Phyllis","A. Whitney","Phyllis","A. Whitney"
"Phyllis Rose","unknown","","Phyllis","Rose","Phyllis","Rose"
"Plato","unknown","","Plato","","Plato",""
"Pusch Commey",NA,NA,NA,NA,"Pusch","Commey"
"Pusch Komiete Commey",NA,NA,NA,NA,"Pusch","Komiete Commey"
"Qanta A. Ahmed","unknown","","Qanta","A. Ahmed","Qanta","A. Ahmed"
"R. Austin Freeman","unknown","","R.","Austin Freeman",NA,NA
"R.A.V. Morris",NA,NA,NA,NA,"R.A.V.","Morris"
"R.L. Stine",NA,NA,NA,NA,"R.L.","Stine"
"Rachel Biale","unknown","","Rachel","Biale","Rachel","Biale"
"Rachel Herz","unknown","","Rachel","Herz","Rachel","Herz"
"Randall Munroe","unknown","","Randall","Munroe","Randall","Munroe"
"Rashad Harrison","unknown","","Rashad","Harrison",NA,NA
"Ray Bradbury","unknown","","Ray","Bradbury","Ray","Bradbury"
"Raymond Postgate","unknown","","Raymond","Postgate","Raymond","Postgate"
"Rebecca Roanhorse","unknown","","Rebecca","Roanhorse",NA,NA
"Rebecca Skloot","unknown","","Rebecca","Skloot","Rebecca","Skloot"
"Rebecca Wells","unknown","","Rebecca","Wells","Rebecca","Wells"
"Red Christmas Publication",NA,NA,NA,NA,"Red","Christmas Publication"
"Reinhard W. Sander",NA,NA,NA,NA,"Reinhard","W. Sander"
"Reni Eddo-Lodge","unknown","","Reni","Eddo-Lodge","Reni","Eddo-Lodge"
"Reuven Hammer","unknown","","Reuven","Hammer","Reuven","Hammer"
"Riad Sattouf",NA,NA,NA,NA,"Riad","Sattouf"
"Richard  Adams","unknown","","Richard"," Adams",NA,NA
"Richard Dawkins","Nairobi"," Kenya","Richard","Dawkins","Richard","Dawkins"
"Richard E. Cytowic","unknown","","Richard","E. Cytowic","Richard","E. Cytowic"
"Richard Elliott Friedman","unknown","","Richard","Elliott Friedman","Richard","Elliott Friedman"
"Richard Francis","unknown","","Richard","Francis","Richard","Francis"
"Richard Holloway","unknown","","Richard","Holloway","Richard","Holloway"
"Richard Muhlberger","unknown","","Richard","Muhlberger","Richard","Muhlberger"
"Richard Platt","unknown","","Richard","Platt","Richard","Platt"
"Richard Rothstein",NA,NA,NA,NA,"Richard","Rothstein"
"Richard Wagamese","unknown","","Richard","Wagamese",NA,NA
"Rien Poortvliet","unknown","","Rien","Poortvliet",NA,NA
"Rii Abrego",NA,NA,NA,NA,"Rii","Abrego"
"Rivers Solomon","unknown","","Rivers","Solomon",NA,NA
"Roald Dahl","unknown","","Roald","Dahl","Roald","Dahl"
"Robert A. Heinlein","unknown","","Robert","A. Heinlein","Robert","A. Heinlein"
"Robert Charles Wilson","unknown","","Robert","Charles Wilson","Robert","Charles Wilson"
"Robert Frost","unknown","","Robert","Frost","Robert","Frost"
"Robert H. Rhodes",NA,NA,NA,NA,"Robert","H. Rhodes"
"Robert Holdstock","unknown","","Robert","Holdstock","Robert","Holdstock"
"Robert L. Wolke","unknown","","Robert","L. Wolke","Robert","L. Wolke"
"Robert Lacey",NA,NA,NA,NA,"Robert","Lacey"
"Robert Lane Greene","unknown","","Robert","Lane Greene","Robert","Lane Greene"
"Robert Player","unknown","","Robert","Player",NA,NA
"Robert Shea","unknown","","Robert","Shea","Robert","Shea"
"Robert Steven Gottfried","unknown","","Robert","Steven Gottfried","Robert","Steven Gottfried"
"Robin DiAngelo","unknown","","Robin","DiAngelo","Robin","DiAngelo"
"Roger Harms","unknown","","Roger","Harms","Roger","Harms"
"Roger Luckhurst",NA,NA,NA,NA,"Roger","Luckhurst"
"Roland Owen Laird Jr.",NA,NA,NA,NA,"Roland","Owen Laird Jr."
"Ron Goulart","unknown","","Ron","Goulart","Ron","Goulart"
"Ronald Knox","unknown","","Ronald","Knox",NA,NA
"Roxane Gay","unknown","","Roxane","Gay","Roxane","Gay"
"Roxanne Dunbar-Ortiz","unknown","","Roxanne","Dunbar-Ortiz","Roxanne","Dunbar-Ortiz"
"Roy S. Berns",NA,NA,NA,NA,"Roy","S. Berns"
"Roy Vickers","unknown","","Roy","Vickers","Roy","Vickers"
"Rudyard Kipling","unknown","","Rudyard","Kipling","Rudyard","Kipling"
"Ruha Benjamin",NA,NA,NA,NA,"Ruha","Benjamin"
"Rumi","unknown","","Rumi","","Rumi",""
"Ryan North","unknown","","Ryan","North","Ryan","North"
"Safiya Umoja Noble","unknown","","Safiya","Umoja Noble","Safiya","Umoja Noble"
"Saidiya Hartman","unknown","","Saidiya","Hartman","Saidiya","Hartman"
"Sally Berkovic","unknown","","Sally","Berkovic","Sally","Berkovic"
"Samrat Upadhyay","Kathmandu"," Nepal","Samrat","Upadhyay",NA,NA
"Sandra Uwiringiyimana",NA,NA,NA,NA,"Sandra","Uwiringiyimana"
"Sara Baume","unknown","","Sara","Baume","Sara","Baume"
"Sarah G. Thomason","unknown","","Sarah","G. Thomason",NA,NA
"Sarah Gerard","unknown","","Sarah","Gerard","Sarah","Gerard"
"Sarah McBride","unknown","","Sarah","McBride","Sarah","McBride"
"Scott  Meyer","unknown","","Scott"," Meyer","Scott"," Meyer"
"Scott Lynch","unknown","","Scott","Lynch","Scott","Lynch"
"Scott McCloud",NA,NA,NA,NA,"Scott","McCloud"
"Scott O'Dell","unknown","","Scott","O'Dell","Scott","O'Dell"
"Scott Sigler","unknown","","Scott","Sigler","Scott","Sigler"
"Sean B. Carroll","unknown","","Sean","B. Carroll","Sean","B. Carroll"
"Sean Mcevoy","unknown","","Sean","Mcevoy","Sean","Mcevoy"
"Seanan McGuire","unknown","","Seanan","McGuire","Seanan","McGuire"
"Shani Boianjiu","unknown","","Shani","Boianjiu","Shani","Boianjiu"
"Shaun Bythell",NA,NA,NA,NA,"Shaun","Bythell"
"Shelley Smith","unknown","","Shelley","Smith",NA,NA
"Shěn Fù","unknown","","Shěn","Fù",NA,NA
"Sheree Thomas",NA,NA,NA,NA,"Sheree","Thomas"
"Sheri Holman",NA,NA,NA,NA,"Sheri","Holman"
"Sherman Alexie","unknown","","Sherman","Alexie","Sherman","Alexie"
"Sherry Garland",NA,NA,NA,NA,"Sherry","Garland"
"Shoshana S. Bennett","unknown","","Shoshana","S. Bennett","Shoshana","S. Bennett"
"Sid Jacobson",NA,NA,NA,NA,"Sid","Jacobson"
"Siddhartha Mukherjee","unknown","","Siddhartha","Mukherjee","Siddhartha","Mukherjee"
"Sierra Crane Murdoch",NA,NA,NA,NA,"Sierra","Crane Murdoch"
"Simon J. Ortiz","Albuquerque"," NM","Simon","J. Ortiz",NA,NA
"Simon Singh","unknown","","Simon","Singh","Simon","Singh"
"Simon Winchester","unknown","","Simon","Winchester",NA,NA
"Solomon Northup","unknown","","Solomon","Northup","Solomon","Northup"
"Sonali Dev",NA,NA,NA,NA,"Sonali","Dev"
"Sophie  Goldstein","unknown","","Sophie"," Goldstein","Sophie"," Goldstein"
"Sophocles","unknown","","Sophocles","","Sophocles",""
"Stacy King","unknown","","Stacy","King","Stacy","King"
"Stanlake Samkange",NA,NA,NA,NA,"Stanlake","Samkange"
"Stanley Casson","unknown","","Stanley","Casson",NA,NA
"Stefan Bollmann","unknown","","Stefan","Bollmann","Stefan","Bollmann"
"Stendhal","unknown","","Stendhal","",NA,NA
"Stephen Jay Gould","unknown","","Stephen","Jay Gould","Stephen","Jay Gould"
"Stephen Lloyd Jones","unknown","","Stephen","Lloyd Jones","Stephen","Lloyd Jones"
"Stephen R. Bown","unknown","","Stephen","R. Bown","Stephen","R. Bown"
"Steven Johnson","unknown","","Steven","Johnson","Steven","Johnson"
"Steven Moore","unknown","","Steven","Moore","Steven","Moore"
"Steven Pinker","unknown","","Steven","Pinker","Steven","Pinker"
"Sue Burke","unknown","","Sue","Burke",NA,NA
"Sue Grafton","unknown","","Sue","Grafton","Sue","Grafton"
"Sue Nyathi","unknown","","Sue","Nyathi",NA,NA
"Susan A. Ambrose","unknown","","Susan","A. Ambrose","Susan","A. Ambrose"
"Susan Campbell Bartoletti","unknown","","Susan","Campbell Bartoletti","Susan","Campbell Bartoletti"
"Susan Deer Cloud","Livingston Manor"," NY","Susan","Deer Cloud",NA,NA
"Susan S. Adler",NA,NA,NA,NA,"Susan","S. Adler"
"Susannah Carson","unknown","","Susannah","Carson","Susannah","Carson"
