author,auth_POB
Brenda Fowler,unknown
Mark Abley,unknown
Therese Huston,unknown
Flora Annie Steel,unknown
Marion Dane Bauer,unknown
Fredrik Backman,unknown
Judith R. Baskin,unknown
Betty  Smith,unknown
Gary Chapman,unknown
John Steinbeck,unknown
Jerry A. Coyne,unknown
Avi,unknown
Jane Davenport,unknown
Ellen Emerson White,unknown
Michael Pollan,unknown
C.S. Lewis,unknown
Micah D. Halpern,unknown
Gina Kolata,unknown
Barbara Haber,unknown
Jane Austen,unknown
Oscar Wilde,unknown
Mike Carey,unknown
Beth Seidel Levine,unknown
Seanan McGuire,unknown
Louis Sachar,unknown
John McWhorter,unknown
Barry  Deutsch,unknown
Sara Baume,unknown
John D. Preston,unknown
Chuck Klosterman,unknown
Jonathan Stephenson,unknown
Lucy Worsley,unknown
Irving Greenberg,unknown
Daniel James Brown,unknown
Frances F. Berdan,unknown
Mary Norton,unknown
Leah Hager Cohen,unknown
Michael Carasik,unknown
Harriet Lerner,unknown
Marjane Satrapi,unknown
Richard Francis,unknown
Nagabe,unknown
Harriet Ann Jacobs,unknown
Danielle Ofri,unknown
Geoffrey R. Stone,unknown
Kathryn Lasky,unknown
Jennifer Worth,unknown
Charlotte Brontë,unknown
Maj Sjöwall,unknown
Mallory Ortberg,unknown
Homer,unknown
Yonatan Kolatch,unknown
Manal Al-Sharif,unknown
Susan Campbell Bartoletti,unknown
Nancy Day,unknown
Emma Donoghue,unknown
Stephen Lloyd Jones,unknown
Chaim Potok,unknown
Lindsey Fitzharris,unknown
Leigh Bardugo,unknown
George Orwell,unknown
M.R. Carey,unknown
Hazel Harrison,unknown
Irene Duke,unknown
Orson Scott Card,unknown
Mayo Clinic,unknown
Elizabeth  Little,unknown
Erik Sass,unknown
T. Christian Miller,unknown
Saidiya Hartman,unknown
Shani Boianjiu,unknown
Keezy Young,unknown
Uzma Jalaluddin,unknown
Antoine de Saint-Exupéry,unknown
Kristiana Gregory,unknown
Barry W. Holtz,unknown
Robin DiAngelo,unknown
Carol  Anderson,unknown
Scott Sigler,unknown
Wayne Grady,unknown
Richard Platt,unknown
Robert Charles Wilson,unknown
Justin McElroy,unknown
Lene Kaaberbøl,unknown
Paul A. Offit,unknown
Marguerite Abouet,unknown
Anne Fadiman,unknown
Robert Lane Greene,unknown
DK Publishing,unknown
Julian Symons,unknown
Ishmael Reed,unknown
Mike   Phillips,unknown
Barbara Vine,unknown
Erskine Childers,unknown
Britiffe Constable Skottowe,unknown
Robert Player,unknown
Wade Miller,unknown
Edward Grierson,unknown
Chester Himes,unknown
Hillary Waugh,unknown
Keisuke Matsuoka,unknown
Jô Soares,unknown
Shelley Smith,unknown
Margaret Millar,unknown
John  Bingham,unknown
John Franklin Bardin,unknown
Cyril Hare,unknown
Ellery Queen,unknown
C. Daly King,unknown
Ronald Knox,unknown
A.A. Milne,unknown
A.E.W. Mason,unknown
Susannah Carson,unknown
Agatha Christie,unknown
George Bellairs,unknown
Thomas Love Peacock,unknown
David Markson,unknown
Harry Kemelman,unknown
Frank Herbert,unknown
Ursula K. Le Guin,unknown
Arthur C. Clarke,unknown
Italo Calvino,unknown
Richard  Adams,unknown
Penelope Fitzgerald,unknown
Philip K. Dick,unknown
Laurence Sterne,unknown
Charles Stross,unknown
Peter Dickinson,unknown
Edgar Rice Burroughs,unknown
James White,unknown
Nathaniel Hawthorne,unknown
Patrisse Khan-Cullors,unknown
Bob Reiss,unknown
Jennifer Clement,unknown
Philip Ball,unknown
Lila Bowen,unknown
Joel Townsley Rogers,unknown
Stanley Casson,unknown
Raymond Postgate,unknown
Roy Vickers,unknown
Lynn Brock,unknown
C.S. Forester,unknown
R. Austin Freeman,unknown
Dermot Morrah,unknown
Vernā Myers,unknown
Daniel Heath Justice,unknown
Eduardo Bonilla-Silva,unknown
Walter Echo-Hawk,unknown
Nina G. Jablonski,unknown
Emily Brontë,unknown
Horace Walpole,unknown
Karl Friedrich Kahlert,unknown
Matthew Lewis,unknown
Eliza Parsons,unknown
Ann Radcliffe,unknown
Eleanor Sleath,unknown
Francis Lathom,unknown
Ivan Turgenev,unknown
Sydney Owenson Morgan,unknown
Marquis de Sade,unknown
George Eliot,unknown
Elizabeth Gaskell,unknown
Charles Dickens,unknown
Gustave Flaubert,unknown
James Fenimore Cooper,unknown
Anne Brontë,unknown
Victor Hugo,unknown
Stendhal,unknown
Catharine Maria Sedgwick,unknown
James Hogg,unknown
Walter Scott,unknown
Mary Wollstonecraft Shelley,unknown
Shěn Fù,unknown
Maria Edgeworth,unknown
C.H.B. Kitchin,unknown
Amanda Montell,unknown
Xavier Aldana  Reyes,unknown
Harriet A. Washington,unknown
Franco Moretti,unknown
Dorothy L. Sayers,unknown
Charles Perrault,unknown
Alan Brennert,unknown
Sophie  Goldstein,unknown
Jack Miles,unknown
Marissa Meyer,unknown
Ann Leckie,unknown
Annelie Wendeberg,unknown
Basma Abdel Aziz,unknown
Jules Verne,unknown
Pendleton Ward,unknown
Sue Burke,unknown
Laurence Rees,unknown
Caroline Criado-Pérez,unknown
Jean Toomer,unknown
Nathaniel Philbrick,unknown
Joe Simpson,unknown
Steven Johnson,unknown
Reni Eddo-Lodge,unknown
Daniel C. Dennett,unknown
Susan A. Ambrose,unknown
Nancy Farmer,unknown
Arika Okrent,unknown
Sarah Gerard,unknown
Sarah McBride,unknown
Jack Lynch,unknown
Roald Dahl,unknown
Connie Rose Porter,unknown
Safiya Umoja Noble,unknown
Tim DeRoche,unknown
Margaret Atwood,unknown
Andy Weir,unknown
Christina Dalcher,unknown
Erin Pizzey,unknown
Abby  Norman,unknown
Margaret Sanger,unknown
Virginia Woolf,unknown
Naomi Wolf,unknown
Iain Pears,unknown
Jay Hosler,unknown
Christopher Hastings,unknown
Michael J. Benton,unknown
Dorothy Gilman,unknown
Phyllis A. Whitney,unknown
Brendan Ó Cathaoir,unknown
Greville G. Corbett,unknown
Barbara Dancygier,unknown
Naomi Oreskes,unknown
Erik Larson,unknown
Sarah G. Thomason,unknown
Paul J. Hopper,unknown
Anna Siewierska,unknown
Donald R. Prothero,unknown
Bernard Comrie,unknown
Mimi Matthews,unknown
Margaret S. Livingstone,unknown
Arthur Allen,unknown
Barry J. Blake,unknown
Peg Meier,unknown
Arthur C. Danto,unknown
Sean B. Carroll,unknown
Amy Thomson,unknown
Benjamin  Wallace,unknown
Max Gladstone,unknown
Kelly Wels,unknown
Neil Gaiman,unknown
John A. Holm,unknown
Danielle Teller,unknown
Amy Tan,unknown
Alice Walker,unknown
Douglas Preston,unknown
Ann Turner,unknown
James Finn Garner,unknown
Kathryn Stockett,unknown
Colleen McCullough,unknown
Scott  Meyer,unknown
Ada Palmer,unknown
Rien Poortvliet,unknown
Scott Lynch,unknown
Greg Keyes,unknown
Jim  Murphy,unknown
Patricia C. McKissack,unknown
Scott O'Dell,unknown
Louisa May Alcott,unknown
Daniel Defoe,unknown
L. Frank Baum,unknown
Rudyard Kipling,unknown
Tamora Pierce,unknown
Astrid Lindgren,unknown
Kurt Vonnegut,unknown
Augusto Macchetto,unknown
Terry Pratchett,unknown
David  Walton,unknown
Carl Sagan,unknown
Bram Stoker,unknown
Joseph Conrad,unknown
Leonard Richardson,unknown
Gail Carson Levine,unknown
Herman Wouk,unknown
Lewis Carroll,unknown
George R.R. Martin,unknown
Edwin A. Abbott,unknown
Sophocles,unknown
Michael Ende,unknown
Norton Juster,unknown
Jostein Gaarder,unknown
H.G. Wells,unknown
Sylvia Plath,unknown
Alex Haley,unknown
Ayn Rand,unknown
Barbara Kingsolver,unknown
Harper Lee,unknown
Jonathan Swift,unknown
Jerome D. Schein,unknown
Henry Kisor,unknown
Brooks D. Simpson,unknown
Adin Even-Israel Steinsaltz,unknown
Ettagale Blauer,unknown
Ayaan Hirsi Ali,unknown
Qanta A. Ahmed,unknown
Solomon Northup,unknown
Siddhartha Mukherjee,unknown
Jessa Crispin,unknown
Candice Millard,unknown
Sean Mcevoy,unknown
David Laskin,unknown
Jonathan Clements,unknown
Richard Muhlberger,unknown
Joyce Hansen,unknown
Josepha Sherman,unknown
Jana Riess,unknown
Derek Bickerton,unknown
Ursula Dubosarsky,unknown
David J. Morris,unknown
John Medina,unknown
Charles Darwin,unknown
Heinrich Harrer,unknown
Alexandra David-Néel,unknown
Ariel Levy,unknown
Mahlon B. Hoagland,unknown
Richard Holloway,unknown
Alfred Lansing,unknown
Roger Harms,unknown
Margaret Kessler,unknown
Henry David Thoreau,unknown
Joe Haldeman,unknown
Alison Weir,unknown
Ora Band,unknown
Tamar El-Or,unknown
Rebecca Skloot,unknown
Richard Elliott Friedman,unknown
Illona Linthwaite,unknown
Napoleon A. Chagnon,unknown
Daniel Handler,unknown
Dan Ariely,unknown
Chip Heath,unknown
Thomas Paine,unknown
Jorge Luis Borges,unknown
John Knowles,unknown
Marya Hornbacher,unknown
Peter Menzel,unknown
Dalai Lama XIV,unknown
Judith Plaskow,unknown
David von Drehle,unknown
Philip Gourevitch,unknown
Robert Steven Gottfried,unknown
Michael Shermer,unknown
Nurit Karlin,unknown
Guy Deutscher,unknown
Steven Pinker,unknown
Judith Flanders,unknown
Sydney Stahl Weinberg,unknown
Committee on the Status Contributions an,unknown
Richard E. Cytowic,unknown
Margaret Visser,unknown
Mort Rosenblum,unknown
Robert L. Wolke,unknown
Rachel Herz,unknown
Thomas Kohnstamm,unknown
Carolyn McCarthy,unknown
John Stuart Mill,unknown
Books LLC,unknown
Darrell Huff,unknown
Gregory  Hill,unknown
Jacob Neusner,unknown
Rachel Biale,unknown
Natan Slifkin,unknown
Elliot N. Dorff,unknown
Bertrand Russell,unknown
Nosson Scherman,unknown
George    Robinson,unknown
Walter M. Miller Jr.,unknown
Robert Shea,unknown
Nick Lane,unknown
Matt Ridley,unknown
Chaim Trachtman,unknown
Charlotte E. Fonrobert,unknown
Lawrence Fine,unknown
Dennis Prager,unknown
Reuven Hammer,unknown
Neal Stephenson,unknown
Barbara Ehrenreich,unknown
