author,auth_POB1,auth_POB2,personal.x,family.x,personal.y,family.y,gender
Nagabe,unknown,,Nagabe,,Nagabe,,
Namina Forna,NA,NA,NA,NA,Namina,Forna,female
Nega Mezlekia,NA,NA,NA,NA,Nega,Mezlekia,male
Nell Irvin Painter,NA,NA,NA,NA,Nell,Irvin Painter,female
Nevanji Madanhire,NA,NA,NA,NA,Nevanji,Madanhire,male
Ngũgĩ wa Thiong'o,NA,NA,NA,NA,Ngũgĩ,wa Thiong'o,male
Nicola Yoon,unknown,,Nicola,Yoon,NA,NA,female
Novuyo Rosa Tshuma,unknown,,Novuyo,Rosa Tshuma,NA,NA,female
Nurit Karlin,unknown,,Nurit,Karlin,Nurit,Karlin,female
Nuruddin Farah,Baidoa, Somalia,Nuruddin,Farah,Nuruddin,Farah,male
Nyuol Lueth Tong,NA,NA,NA,NA,Nyuol,Lueth Tong,male
ONE,unknown,,ONE,,ONE,,
Ora Band,unknown,,Ora,Band,Ora,Band,female
Ousmane Sembène,NA,NA,NA,NA,Ousmane,Sembène,male
Patrisse Khan-Cullors,unknown,,Patrisse,Khan-Cullors,Patrisse,Khan-Cullors,female
Paule Marshall,NA,NA,NA,NA,Paule,Marshall,female
Pema Chödrön,unknown,,Pema,Chödrön,Pema,Chödrön,female
Pendleton Ward,unknown,,Pendleton,Ward,Pendleton,Ward,male
Petina Gappah,Copperbelt Province, Zambia,Petina,Gappah,Petina,Gappah,female
Pusch Commey,NA,NA,NA,NA,Pusch,Commey,male
Pusch Komiete Commey,NA,NA,NA,NA,Pusch,Komiete Commey,male
R.A.V. Morris,NA,NA,NA,NA,R.A.V.,Morris,male
Rashad Harrison,unknown,,Rashad,Harrison,NA,NA,male
Red Christmas Publication,NA,NA,NA,NA,Red,Christmas Publication,
Reni Eddo-Lodge,unknown,,Reni,Eddo-Lodge,Reni,Eddo-Lodge,female
Riad Sattouf,NA,NA,NA,NA,Riad,Sattouf,male
Rien Poortvliet,unknown,,Rien,Poortvliet,NA,NA,male
Rii Abrego,NA,NA,NA,NA,Rii,Abrego,female
Rivers Solomon,unknown,,Rivers,Solomon,NA,NA,female
Samrat Upadhyay,Kathmandu, Nepal,Samrat,Upadhyay,NA,NA,male
Shelley Smith,unknown,,Shelley,Smith,NA,NA,female
Shěn Fù,unknown,,Shěn,Fù,NA,NA,male
Sheree Thomas,NA,NA,NA,NA,Sheree,Thomas,female
Sheri Holman,NA,NA,NA,NA,Sheri,Holman,female
Sierra Crane Murdoch,NA,NA,NA,NA,Sierra,Crane Murdoch,female
Sonali Dev,NA,NA,NA,NA,Sonali,Dev,female
Stacy King,unknown,,Stacy,King,Stacy,King,male
Stanlake Samkange,NA,NA,NA,NA,Stanlake,Samkange,male
Sydney Owenson Morgan,unknown,,Sydney,Owenson Morgan,NA,NA,female
Sydney Padua,NA,NA,NA,NA,Sydney,Padua,female
Sydney Stahl Weinberg,unknown,,Sydney,Stahl Weinberg,Sydney,Stahl Weinberg,female
T. Christian Miller,unknown,,T.,Christian Miller,T.,Christian Miller,male
Taiye Selasi,NA,NA,NA,NA,Taiye,Selasi,female
Tanya Tagaq,unknown,,Tanya,Tagaq,NA,NA,female
Tayari Jones,unknown,,Tayari,Jones,NA,NA,female
Téa Mutonji,NA,NA,NA,NA,Téa,Mutonji,female
Thabile Makue,NA,NA,NA,NA,Thabile,Makue,female
Toni Cade Bambara,NA,NA,NA,NA,Toni,Cade Bambara,female
Tsitsi Dangarembga,NA,NA,NA,NA,Tsitsi,Dangarembga,female
Unknown,unknown,,Unknown,,Unknown,,
Uwem Akpan,NA,NA,NA,NA,Uwem,Akpan,male
Uzma Jalaluddin,unknown,,Uzma,Jalaluddin,Uzma,Jalaluddin,female
Uzodinma Iweala,NA,NA,NA,NA,Uzodinma,Iweala,male
Wangari Maathai,NA,NA,NA,NA,Wangari,Maathai,female
Waris Dirie,NA,NA,NA,NA,Waris,Dirie,female
Wil Huygen,NA,NA,NA,NA,Wil,Huygen,male
Wole Soyinka,NA,NA,NA,NA,Wole,Soyinka,male
Yewande Omotoso,unknown,,Yewande,Omotoso,NA,NA,female
Zakes Mda,NA,NA,NA,NA,Zakes,Mda,male
Zukiswa Wanner,NA,NA,NA,NA,Zukiswa,Wanner,female
